歌单链接	歌单名字
https://music.163.com/playlist?id=2530552007	「5×20」ARASHI 20周年
https://music.163.com/playlist?id=2538486999	JOJO的奇妙冒险
https://music.163.com/playlist?id=2548199879	日系让小姐姐的歌声取悦你吧
https://music.163.com/playlist?id=2545388405	泽野弘之1206上海live
https://music.163.com/playlist?id=2458743118	UNLEASHED - feel the love -
https://music.163.com/playlist?id=2525215322	夢燈籠?(R7CKY?你的名字?Mix)
https://music.163.com/playlist?id=2517454142	5x20 arashi forever
https://music.163.com/playlist?id=2516795633	【圣诞恋语】埋藏在白色季节中的小小爱情
https://music.163.com/playlist?id=2529011426	OLDCODEX G2B1 in 上海 DAY1 2018.11.23
https://music.163.com/playlist?id=2539872047	CG6th名古屋Day2
https://music.163.com/playlist?id=2527977294	日语歌单无线循环洗脑
https://music.163.com/playlist?id=2516492265	Arashi 5×20
https://music.163.com/playlist?id=2454701232	夏日口袋summer pockets OST
https://music.163.com/playlist?id=2516476746	5X20
https://music.163.com/playlist?id=2513801293	ヒプノシスマイク（聲優RAP對戰）
https://music.163.com/playlist?id=2504401605	《在离别的清晨装饰约定之花》
https://music.163.com/playlist?id=2513482713	大好き春茶小姐姐！
https://music.163.com/playlist?id=2514649987	5*20花牌
https://music.163.com/playlist?id=2424800086	(gal)9-nine九九九和天天天
https://music.163.com/playlist?id=2518007695	apink好听的歌
https://music.163.com/playlist?id=2520670536	【日剧】我是大哥大
https://music.163.com/playlist?id=2516553012	5×20
https://music.163.com/playlist?id=2532695469	我是大哥大
https://music.163.com/playlist?id=2468029797	水树奈奈 2018 island+ 上海
https://music.163.com/playlist?id=2495591928	「 日剧 」今日から俺は！曲目收集中！
https://music.163.com/playlist?id=2497168005	电光超人古力特~SSSS:GRIDMAN
https://music.163.com/playlist?id=2552196339	『蒸汽波』想回到夏日夕阳下亲吻你的梦呓
https://music.163.com/playlist?id=2340384239	『日系』溺死在甜美的嗓音里
https://music.163.com/playlist?id=2222261250	《终结一吻》原声带
https://music.163.com/playlist?id=2311480037	DRB
https://music.163.com/playlist?id=2326501758	Bilibili Macro Link SP 2018 完整歌单
https://music.163.com/playlist?id=2148638362	火影op合集（1-720）
https://music.163.com/playlist?id=2317852206	电影 镰仓物语OST
https://music.163.com/playlist?id=2161351637	「塑 料 愛」
https://music.163.com/playlist?id=2170335291	刀剑神域外传 Gun Gale Online（原声集）
https://music.163.com/playlist?id=2243284028	犬夜叉主题曲跟尾题曲
https://music.163.com/playlist?id=2160703347	《犬之岛》Isle Of Dogs 原声大碟
https://music.163.com/playlist?id=2266153385	【双声道】左右声道 男女声（耳机专享）
https://music.163.com/playlist?id=784867069	日语N1-N5单词红宝书
https://music.163.com/playlist?id=2079028529	历年血洗B站神曲排行
https://music.163.com/playlist?id=2201835172	WINNER
https://music.163.com/playlist?id=2149170011	超级战队op合集
https://music.163.com/playlist?id=2081749258	Daring In The Franxx
https://music.163.com/playlist?id=2313367441	东京吃货（含原版OP）
https://music.163.com/playlist?id=2168928973	和标叔一起听歌学日语
https://music.163.com/playlist?id=2243855362	重度孤僻症丨曾经我也想过一了百了
https://music.163.com/playlist?id=2247246852	RADWIMPS2018上海演唱会歌单
https://music.163.com/playlist?id=2271519659	Muse Dash（吐血更新中）
https://music.163.com/playlist?id=2240513635	单曲循环|????)っ?　喜欢你?欢迎评论哦
https://music.163.com/playlist?id=2495602879	【日剧】我是大哥大
https://music.163.com/playlist?id=2083317691	我想吃掉你的胰脏（剧场版原声集）
https://music.163.com/playlist?id=2500701658	〖唱见科普14〗鎖那
https://music.163.com/playlist?id=2079735101	碧蓝航线BGM【日服联动】
https://music.163.com/playlist?id=2116059980	游戏人生剧场版 原声集
https://music.163.com/playlist?id=2304879188	日系｜你大概不懂一直满怀期待的心酸
https://music.163.com/playlist?id=2520037368	Aqours 4th Live Day2 演唱曲目
https://music.163.com/playlist?id=2521461182	超级机器人大战DD参战曲目 & 原声集
https://music.163.com/playlist?id=2386448959	Animelo Summer Live 2018 Day2 歌单
https://music.163.com/playlist?id=2452224455	青春猪头少年不会梦到兔女郎学姐(原声集)
https://music.163.com/playlist?id=2132948616	Unnatural 2018日剧 非自然死亡 歌单
https://music.163.com/playlist?id=2125949900	BEATLESS～没有心跳的少女 OP&ED 原声集
https://music.163.com/playlist?id=2377475707	∠※桜の诗|少女与桜花的轮舞
https://music.163.com/playlist?id=2065457827	东京吃货:re op&ed
https://music.163.com/playlist?id=2529987862	OLDCODEX Tour G2B1 in 上海 Day2
https://music.163.com/playlist?id=2467297392	Nyan Cat(彩虹猫）[全版本收录]
https://music.163.com/playlist?id=2345364805	「童年时光机」回忆心灵最初的那片碧海蓝天
https://music.163.com/playlist?id=2335834881	日摇///少年是洒落心间的暖阳 低头花绽如春
https://music.163.com/playlist?id=2261419931	愿我们在彼此看不见的岁月里熠熠生辉
https://music.163.com/playlist?id=2199789897	动画电影『莉兹与青鸟』原声集
https://music.163.com/playlist?id=2328580583	『日系』心在漂泊，寻觅着所爱之人
https://music.163.com/playlist?id=2500461194	【P主科普54】バルーン(气球P)
https://music.163.com/playlist?id=2383675331	ASL2018 “OK!”-Day2
https://music.163.com/playlist?id=2025418647	博多豚骨拉面团
https://music.163.com/playlist?id=2502488250	日系摇滚 | 残留于春天的浪漫与热爱
https://music.163.com/playlist?id=2517384056	水团 Aqours 4th东京巨蛋歌单day2
https://music.163.com/playlist?id=2214507968	【日系丧歌】嗯 就这样消失吧
https://music.163.com/playlist?id=2452094221	青春猪头少年不会梦到兔女郎学姐op&ed&插曲
https://music.163.com/playlist?id=2458406799	我是大哥大[日剧原声带]
https://music.163.com/playlist?id=2552389915	催眠麦克风：RAP?BATTLE，为你而战
https://music.163.com/playlist?id=766334035	TV动画《月色真美》歌曲大全
https://music.163.com/playlist?id=2500995022	【男?女】音符交织，那刻便是我们灵魂共鸣
https://music.163.com/playlist?id=2340344400	“熟悉的地方没有风景”
https://music.163.com/playlist?id=2521465051	超级机器人大战T参战曲目（更新限定版曲目
https://music.163.com/playlist?id=2483332157	那些年的日漫，那时候的童年
https://music.163.com/playlist?id=2451362155	叮！现在是KING SUPER LIVE 2018预习时间?
https://music.163.com/playlist?id=2542469757	中島美嘉 SPECIAL LIVE IN TAIPEI 2018
https://music.163.com/playlist?id=2334444444	「迷失都市，霓虹怪物」
https://music.163.com/playlist?id=2534744760	【日系】当东方舞曲遇上电子音乐
https://music.163.com/playlist?id=2528995970	OLDCODEX G2B1 in 上海 DAY2 2018.11.24
https://music.163.com/playlist?id=2518626416	Aqours 4th Live Day1 演唱曲目
https://music.163.com/playlist?id=2310429322	［日系］温柔可爱与呆萌的结合体
https://music.163.com/playlist?id=2542959572	中学圣日记
https://music.163.com/playlist?id=2514575952	【ARASHI】【5x20】花牌
https://music.163.com/playlist?id=2506651107	平成1年动漫《乱马1/2》乐曲原声带 (部分)
https://music.163.com/playlist?id=2299913136	都散了吧！故事始末注定没有我和你
https://music.163.com/playlist?id=2398432466	ACG狂欢：日本音乐厂牌U/M/A/A歌曲精选
https://music.163.com/playlist?id=1983195962	唯美日系丨枫叶荻花红霞瑟 楓飘红霞光
https://music.163.com/playlist?id=2516992357	ARASHI Anniversary Tour 5x20
https://music.163.com/playlist?id=2516970269	水团 Aqours 4th东京巨蛋歌单day1
https://music.163.com/playlist?id=2516481551	ARASHI LIVE TOUR 5x20 SAPPORO SETLIST
https://music.163.com/playlist?id=2401133635	【歌姬】あよ！Ayo！元气可爱治愈消疲劳！
https://music.163.com/playlist?id=2249746491	「日系清甜」把心事丢掉 腾出地方来装你
https://music.163.com/playlist?id=2403186001	『日系治愈』愿温暖的音乐抚慰你我
https://music.163.com/playlist?id=2485310541	【VAZZROCK?バズロック】
